,smiles,GWP100,LT,RE,lip,sol,GWP
6172,C(C(C(C(C(C(C(C(F)(F)F)(Cl)F)(Cl)Cl)(Cl)Cl)(F)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.1788699627,0.6840254068,-0.6598798037,0.3755510449,-4.6723227501,150.962807068
9691,C(C(C(C(C(C(C(C(F)(F)Cl)(Cl)Cl)(F)F)(Cl)F)(Cl)F)(F)F)(Cl)Cl)(Cl)Cl,2.1789638996,0.6048982143,-0.6811872721,0.3814967871,-4.695171833,150.9954635155
2401,C(C(C(C(C(C(C(Cl)(Cl)Cl)(F)F)(Cl)F)(Cl)F)(F)F)(Cl)Cl)(Cl)Cl,2.1789753437,0.4948710799,-0.7004989982,0.330219686,-4.5307240486,150.9994424486
8197,C(C(C(C(C(C(C(C(Cl)(Cl)Cl)(Cl)F)(F)F)(Cl)F)(F)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.1790339947,0.6123234034,-0.698912859,0.3764791489,-4.773622036,151.0198361268
2257,C(C(C(C(C(C(C(Cl)(Cl)Cl)(F)F)(F)F)(Cl)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.1790537834,0.5583987236,-0.7078912258,0.3515148163,-4.6370167732,151.026717542
6325,C(C(C(C(C(C(C(C(F)(F)F)(Cl)F)(Cl)F)(F)F)(F)F)(Cl)Cl)(Cl)Cl)(Cl)Cl,2.179058075,0.7193374038,-0.6971870661,0.3498367071,-4.6947417259,151.0282099385
2365,C(C(C(C(C(C(C(Cl)(Cl)Cl)(F)F)(Cl)F)(F)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.1790921688,0.5107522011,-0.6952559948,0.3509854078,-4.5986199379,151.0400667235
5254,C(C(C(C(C(C(C(C(F)(F)F)(Cl)Cl)(F)F)(Cl)Cl)(Cl)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.1790952682,0.6851454973,-0.6757524014,0.3721498847,-4.7004327774,151.0411446592
9277,C(C(C(C(C(C(C(C(F)(F)Cl)(F)F)(Cl)F)(F)F)(Cl)Cl)(Cl)F)(Cl)Cl)(Cl)Cl,2.1791293621,0.7124198675,-0.6963331699,0.3766716123,-4.7823328972,151.0530024596
7468,C(C(C(C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(F)F)(Cl)F)(F)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.1792700291,0.6007470489,-0.6368364692,0.377589941,-4.7919430733,151.1019360963
361,C(C(C(C(C(F)(F)Cl)(Cl)Cl)(Cl)Cl)(Cl)F)(Cl)Cl,2.1794836521,0.532672286,-0.5954707861,0.0268162638,-4.0568561554,151.1762791915
1915,C(C(C(C(C(C(C(F)(F)F)(Cl)Cl)(Cl)F)(Cl)F)(F)F)(Cl)Cl)(Cl)Cl,2.1795742512,0.5497775674,-0.6648272276,0.353666842,-4.3874964714,151.207819674
11815,C(C(C(C(C(C(C(C(F)(Cl)Cl)(Cl)Cl)(F)F)(Cl)Cl)(Cl)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.1797659397,0.6419158578,-0.686496675,0.3129985332,-4.8966488838,151.2745743868
9655,C(C(C(C(C(C(C(C(F)(F)Cl)(Cl)Cl)(F)F)(Cl)F)(F)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.1797850132,0.6428493261,-0.6738426685,0.3769062757,-4.7551894188,151.2812182587
5614,C(C(C(C(C(C(C(C(F)(F)F)(Cl)Cl)(Cl)F)(F)F)(Cl)Cl)(F)F)(Cl)Cl)(Cl)Cl,2.1798279285,0.6035729051,-0.6810054779,0.376334846,-4.6351070404,151.2961680373
841,C(C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl)(F)F)(Cl)Cl,2.1798739433,0.4511926174,-0.5576704741,0.0919908434,-4.3270115852,151.3121991633
5416,C(C(C(C(C(C(C(C(F)(F)F)(Cl)Cl)(Cl)Cl)(F)F)(Cl)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.1801073551,0.7193789482,-0.6681463122,0.3764419556,-4.7027549744,151.3935438387
466,C(C(C(C(C(F)(Cl)Cl)(Cl)F)(Cl)Cl)(Cl)Cl)(Cl)Cl,2.1803491116,0.4916092753,-0.6602473259,0.1847235113,-4.1776089668,151.4778427524
1366,C(C(C(C(C(C(F)(Cl)Cl)(Cl)Cl)(Cl)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.1803853512,0.5053989887,-0.6519505978,0.2570317388,-4.3838129044,151.4904833208
1384,C(C(C(C(C(C(F)(Cl)Cl)(Cl)F)(F)F)(Cl)Cl)(Cl)Cl)(Cl)Cl,2.1805467606,0.5296520591,-0.7038456798,0.2233706862,-4.3786640167,151.5467965603
3004,C(C(C(C(C(C(C(F)(F)Cl)(F)F)(Cl)Cl)(F)F)(Cl)Cl)(Cl)Cl)(Cl)Cl,2.1805472374,0.6094099879,-0.7058469653,0.3211289048,-4.5942969322,151.5469629524
8575,C(C(C(C(C(C(C(C(Cl)(Cl)Cl)(Cl)F)(Cl)F)(F)F)(Cl)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.1805672646,0.6678279638,-0.7004703283,0.3771613836,-4.8839912415,151.5539515868
1951,C(C(C(C(C(C(C(F)(F)F)(Cl)F)(F)F)(F)F)(Cl)Cl)(Cl)Cl)(Cl)Cl,2.1807837486,0.6337149143,-0.7040308714,0.3208455443,-4.4466166496,151.6295159703
2527,C(C(C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl)(F)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.180877924,0.5410147309,-0.6331318617,0.289477706,-4.6376957893,151.6623999005
9682,C(C(C(C(C(C(C(C(F)(F)Cl)(Cl)Cl)(F)F)(Cl)F)(Cl)Cl)(Cl)F)(Cl)Cl)(Cl)Cl,2.1809248924,0.6681677103,-0.6857215166,0.3118970394,-4.8779520988,151.6788029055
403,C(C(C(C(C(F)(Cl)Cl)(F)F)(F)F)(Cl)Cl)(Cl)Cl,2.1809518337,0.4218494296,-0.7046644092,0.2725770473,-3.7853929996,151.6882125365
1195,C(C(C(C(C(C(F)(F)Cl)(Cl)F)(Cl)F)(Cl)Cl)(Cl)Cl)(Cl)Cl,2.1809539795,0.5871500373,-0.6626419425,0.2825790048,-4.4346065521,151.6889620012
11464,C(C(C(C(C(C(C(C(F)(Cl)Cl)(F)F)(Cl)F)(F)F)(Cl)Cl)(Cl)F)(Cl)Cl)(Cl)Cl,2.1810052395,0.669613719,-0.7046148777,0.3764740825,-4.8400964737,151.7068669818
11581,C(C(C(C(C(C(C(C(F)(Cl)Cl)(F)F)(Cl)F)(Cl)F)(F)F)(F)F)(Cl)Cl)(Cl)Cl,2.1810677052,0.6159557104,-0.6923189163,0.3806473613,-4.5952906609,151.7286889313
